Game,Copies sold,Genre,Publisher
Marvel's Spider-Man,20 million,Action-adventure,Sony Interactive Entertainment
God of War,19.5 million,Action-adventure hack and slash,Sony Interactive Entertainment
Uncharted 4: A Thief's End,16 million,Action-adventure,Sony Interactive Entertainment
The Witcher 3: Wild Hunt,10.8 million,Action role-playing,CD Projekt
The Last of Us Part II,10 million,Action-adventure survival horror,Sony Interactive Entertainment
Horizon Zero Dawn,10 million,Action role-playing,Sony Interactive Entertainment
The Last of Us Remastered,10 million,Action-adventure survival horror,Sony Computer Entertainment
Ghost of Tsushima,9.73 million,Action-adventure stealth,Sony Interactive Entertainment
Star Wars Battlefront,8.42 million,First-person shooter third-person shooter,Electronic Arts
Gran Turismo Sport,8 million,Racing,Sony Interactive Entertainment
Infamous Second Son,6 million,Action-adventure,Sony Computer Entertainment
Detroit: Become Human,5.5 million,Adventure,Sony Interactive Entertainment
Final Fantasy VII Remake,5 million,Action role-playing,Square Enix
Monster Hunter: World,4.67 million,Action role-playing,Capcom
Cyberpunk 2077,3.83 million,Action role-playing,CD Projekt
FIFA 17,3.12 million,Sports,EA Sports
Crash Bandicoot N. Sane Trilogy,2.5 million,Platform,Activision
Final Fantasy XV,2.5 million,Action role-playing,Square Enix
Persona 5 Royal,2.3 million,Role-playing social simulation,Atlus
Killzone: Shadow Fall,2.1 million,First-person shooter,Sony Computer Entertainment
Grand Theft Auto V,2.02 million,Action-adventure,Rockstar Games
Bloodborne,2 million,Action role-playing,Sony Computer Entertainment
Driveclub,2 million,Racing,Sony Computer Entertainment
Knack,2 million,Platform beat 'em up,Sony Computer Entertainment
Minecraft: PlayStation 4 Edition,2 million,Sandbox survival,Sony Computer Entertainment
Nier: Automata,1.6 million,Action role-playing,Square Enix
Nioh 2,1.4 million,Action role-playing,WW: Sony Interactive Entertainment JP: Koei Tecmo
Battlefield 1,1.3 million,First-person shooter,Electronic Arts
Dragon Quest XI: Echoes of an Elusive Age,1.3 million,Role-playing,Square Enix
Metal Gear Solid V: The Phantom Pain,1.1 million,Action-adventure stealth,Konami
Final Fantasy XII: The Zodiac Age,1 million,Role-playing,Square Enix
Kingdom Hearts III,1 million,Action role-playing,Square Enix
Nioh,1 million,Action role-playing,WW: Sony Interactive Entertainment JP: Koei Tecmo
